imdb,Duration,streamings,tmdb,Age,popularity,Title,Year
6.6,114,| Amazon |,6,APTA,3.712,El globo rojo ,2007
7.3,131,| Filmin |,6.5,0,2.566,Lo viejo y lo nuevo ,1929
7.8,93,| Movistar |,7.3,18,47.208,Venganza ,2008
6.2,95,| Netflix |,4.8,0,6.638,Sonora (Sartana no perdona) ,2019
6.5,87,| Netflix |,6.5,0,18.739,Aterrados ,2018
6.4,120,| FlixOLE |,5.6,18,2.91,La verdad sobre el caso Savolta ,1980
7.7,105,| Amazon |,7.6,APTA,11.168,Buena Vista Social Club ,1999
7.2,99,| Netflix | HBO |,7.3,7,18.045,Diecisiete ,2019
7.6,125,| Filmin |,7.5,18,8.298,"El cocinero, el ladrón, su mujer y su amante ",1989
7.4,135,| Filmin |,7.8,0,8.787,120 pulsaciones por minuto ,2017
7.1,121,| Netflix |,7.9,0,9.432,La democracia en peligro ,2019
7.4,77,| Filmin |,6.9,0,6.897,El Viyi ,1967
8.1,122,| Filmin | Movistar |,8.3,7,32.607,Retrato de una mujer en llamas ,2019
8,84,| Filmin |,7.9,0,10.053,Vivir su vida ,1962
7.2,120,| Amazon |,7.1,0,24.877,The Report ,2019
7.4,105,| Filmin |,7.4,12,14.834,The Rider ,2017
7.6,85,| Filmin | Amazon | FlixOLE |,7.4,18,1.043,Sesión salvaje ,2019
6.6,119,| Filmin |,5.8,0,3.71,Hijos de la ultraderecha ,2019
6.8,116,| Netflix |,7.4,18,221.331,Tyler Rake ,2020
6.9,108,| Filmin |,7,12,5.414,Agenda oculta ,1990
6.7,111,| Netflix |,6.8,0,8.194,Tallulah ,2016
0,82,| Netflix |,7.6,0,24.798,A Secret Love ,2020
7.8,118,| Filmin |,7.6,0,8.323,El proceso ,1962
7.9,101,| Filmin | Movistar |,7.7,0,10.013,Días sin huella ,1945
8.3,108,| Filmin |,8.2,0,8.443,Primavera tardía ,1949
7.6,133,| Netflix |,7.2,APTA,14.854,Moneyball: Rompiendo las reglas ,2011
7.4,103,| Filmin |,7.8,0,1.16,Queridísimos verdugos ,1977
6.7,109,| Filmin | Amazon |,6.7,12,6.883,Jimmy's Hall ,2014
